Symbol,sys_name,SGD,WT_SSL,WT_HL,CBC_SSL,CBC1_HL,RRP6_SSL,RRP6-HL
TFC3,YAL001C ,YAL001C ,502.9,22.63,269.7,68.61,288.2,31.59
TFC3,YAL001C ,YAL001C ,146.9,24.45,37.7,N.A.,93.5,85.91
VPS8,YAL002W ,YAL002W ,261.2,21.07,178.4,19.58,327,39.9
EFB1,YAL003W ,YAL003W ,14842.7,18.55,13719.7,25.03,11059.5,29.3
EFB1,YAL003W ,YAL003W ,19366.1,16.85,15370.3,27.43,11072,22.35
NA,YAL004W ,YAL004W ,120.7,109.99,99.6,49.57,102.2,N.A.
SSA1,YAL005C ,YAL005C ,31189.7,58.59,36559.4,16.48,23575.3,14.61
SSA1,YAL005C ,YAL005C ,8895.4,35.49,18659.6,5.23,9629.3,N.A.
SSA1,YAL005C ,YAL005C ,9858,41.94,8045.6,91.93,7389.2,491.64
ERP2,YAL007C ,YAL007C ,1309.5,16.2,1388.5,23.75,750.9,17.23
FUN14,YAL008W ,YAL008W ,582.4,40.38,565.8,54.44,316.6,40.98
SPO7,YAL009W ,YAL009W ,562.5,14.17,645.4,15.1,354.6,13.53
MDM10,YAL010C ,YAL010C ,77.5,25.94,92.6,13.66,67.7,23.67
SWC1,YAL011W ,YAL011W ,174.2,13.25,150.6,15.85,119.2,14.34
CYS3,YAL012W ,YAL012W ,5966.6,N.A.,4898.3,N.A.,5945,N.A.
DEP1,YAL013W ,YAL013W ,508.7,44.75,700.1,23.77,427,7.82
UIP2,YAL014C ,YAL014C ,469.8,35.5,640.6,21.83,494,N.A.
NTG1,YAL015C ,YAL015C ,268.4,101.61,332.6,23.14,330.7,72.2
TPD3,YAL016W ,YAL016W ,1625,N.A.,2616.4,55.81,2420.6,N.A.
PSK1,YAL017W ,YAL017W ,732.5,N.A.,1149.1,21.46,1081.9,N.A.
NA,YAL018C ,YAL018C ,43.7,35.59,25.8,N.A.,74.4,93.57
FUN30,YAL019W ,YAL019W ,454.4,19.09,671.2,20.64,524.2,17.26
ATS1,YAL020C ,YAL020C ,311.5,47.36,429.5,38.86,387.7,61.57
CCR4,YAL021C ,YAL021C ,1290.2,32.2,1644.2,40.23,1830.2,39.56
FUN26,YAL022C ,YAL022C ,561.3,32.88,673,19.89,559.7,39.15
PMT2,YAL023C ,YAL023C ,7386.4,24.48,6883.4,24.64,4136.8,48.57
LTE1,YAL024C ,YAL024C ,294.1,9.72,241.5,16.46,247,17.79
MAK16,YAL025C ,YAL025C ,175,9.1,267.2,11.77,244.3,15.77
DRS2,YAL026C ,YAL026C ,342.7,23.07,247.8,25.1,324.2,32.04
NA,YAL027W ,YAL027W ,137.6,13.38,91.2,119.9,86,N.A.
NA,YAL028W ,YAL028W ,101.1,N.A.,101.6,86.92,57.3,N.A.
MYO4,YAL029C ,YAL029C ,775.4,10.8,572.6,23.96,653.2,16.39
SNC1,YAL030W ,YAL030W ,1046.2,15.26,303.5,38.2,256.3,42.82
SNC1,YAL030W ,YAL030W ,3950.2,26.53,1289.6,43.17,2277.2,23.78
FUN21,YAL031C ,YAL031C ,510.4,67.42,632.7,19.54,523.4,N.A.
PRP45,YAL032C ,YAL032C ,71.8,26.52,75.7,34.52,80.1,24.24
POP5,YAL033W ,YAL033W ,1481.4,17.3,2086.5,37.2,1563.6,24.59
FUN19,YAL034C ,YAL034C ,312.9,N.A.,118.3,N.A.,511.6,N.A.
MTW1,YAL034W-A ,YAL034W-A ,46.3,63.44,80.2,N.A.,53,50.73
